Timestamp,fav_number,siblings,wakeup,fav_season,pets,dominant_hand,bday_month,height,choice,music_while_studying,hike_prep
1/2/2026 14:20:30,2,3,9 am,Spring,Yes,Right,September,59,A sure $10,Music with lyrics,Snacks
1/2/2026 14:21:03,4,1,7 am,Summer,Yes,Right,April,60,A sure $10,Instrumental music,Vibes
1/2/2026 17:42:50,2,1,7 am,Spring,No,Right,March,66,A sure $10,Instrumental music,Extra water
1/2/2026 18:03:29,4,3,7 am,Fall,No,Right,September,68,A sure $10,Music with lyrics,Sunscreen/Hat
1/2/2026 22:45:51,2,1,9 am,Fall,Yes,Right,March,62,A sure $10,Music with lyrics,Snacks
1/3/2026 7:32:14,8,1,7 am,Fall,No,Left,December,70,A sure $10,Instrumental music,First-aid kit
1/3/2026 14:33:12,3,4,6 am,Spring,Yes,Right,March,63,A 50% chance to win $24,Instrumental music,Sunscreen/Hat
1/3/2026 15:18:19,5,1,10 am,Spring,No,Right,August,74,A 50% chance to win $24,Instrumental music,First-aid kit
1/3/2026 16:31:16,8,1,7 am,Winter,No,Right,September,70,A sure $10,Instrumental music,Vibes
1/3/2026 19:23:02,9,1,6 am,Fall,Yes,Right,September,65,A sure $10,No music,Extra water
1/4/2026 10:02:12,7,1,9 am,Fall,Yes,Right,January,63,A sure $10,Music with lyrics,Extra water
1/4/2026 13:14:43,7,1,9 am,Fall,Yes,Right,December,66,A 50% chance to win $24,Ambient noise,Extra water
1/4/2026 17:12:24,9,1,12 pm,Summer,No,Left,December,63,A sure $10,Instrumental music,Sunscreen/Hat
1/4/2026 18:19:24,5,1,7 am,Fall,No,Right,October,63,A 50% chance to win $24,Instrumental music,Snacks
1/4/2026 18:55:18,3,1,8 am,Fall,Yes,Right,September,69,A sure $10,Instrumental music,Extra water
1/4/2026 22:13:43,10,2,8 am,Summer,No,Right,July,66,A 50% chance to win $24,Instrumental music,Extra water
1/4/2026 22:17:46,6,3,10 am,Fall,Yes,Right,July,64,A sure $10,No music,Vibes
1/4/2026 23:38:20,7,1,8 am,Fall,Yes,Right,September,60,A sure $10,No music,Snacks
1/5/2026 7:15:54,7,1,11 am,Summer,Yes,Right,June,62,A 50% chance to win $24,Instrumental music,Sunscreen/Hat
1/5/2026 7:58:43,5,3,6 am,Winter,Yes,Right,January,63,A 50% chance to win $24,Instrumental music,Snacks
1/5/2026 10:07:49,2,1,9 am,Winter,Yes,Left,September,60,A sure $10,Music with lyrics,Sunscreen/Hat
1/5/2026 11:28:01,3,4,9 am,Summer,Yes,Right,December,64,A sure $10,Instrumental music,Sunscreen/Hat
1/5/2026 12:09:02,4,1,9 am,Summer,Yes,Right,December,66,A sure $10,Music with lyrics,Snacks
1/5/2026 13:46:24,2,2,7 am,Summer,Yes,Right,August,63,A sure $10,Instrumental music,Sunscreen/Hat
1/5/2026 15:38:36,7,1,9 am,Fall,Yes,Right,October,70,A sure $10,Music with lyrics,Extra water
1/5/2026 17:08:38,6,1,8 am,Fall,Yes,Right,February,66,A sure $10,No music,Sunscreen/Hat
1/5/2026 17:17:37,7,2,7 am,Spring,No,Right,June,63,A sure $10,Music with lyrics,Snacks
1/5/2026 18:04:49,5,3,9 am,Spring,Yes,Right,January,67,A sure $10,Instrumental music,First-aid kit
1/5/2026 18:15:17,5,2,6 am,Summer,No,Right,January,64,A sure $10,Music with lyrics,Snacks
1/5/2026 19:32:22,9,2,6 am,Winter,Yes,Right,March,73,A sure $10,Ambient noise,Vibes
1/5/2026 20:26:25,4,2,6 am,Spring,Yes,Right,March,69,A sure $10,No music,First-aid kit
1/5/2026 21:41:09,7,0,9 am,Summer,No,Right,July,62,A sure $10,Music with lyrics,Extra water
1/6/2026 8:02:59,7,1,7 am,Spring,Yes,Left,May,57,A 50% chance to win $24,Instrumental music,Extra water
1/6/2026 23:07:52,3,1,10 am,Spring,No,Right,May,67,A sure $10,Instrumental music,Vibes
